author,title,description,url,urlToImage,publishedAt,content,source.id,source
Aliza Chasan,"Tyson recalls nearly 30,000 pounds of dino chicken nuggets - CBS News","Dino nuggets from Tyson foods may have metal pieces in the chicken, according to a recall alert.",https://www.cbsnews.com/news/dino-chicken-nuggets-recall-tyson-possible-contamination/,https://assets1.cbsnewsstatic.com/hub/i/r/2023/11/05/4e603ab5-0b39-4819-a635-6859369d5494/thumbnail/1200x630/7129e1a2ae63a52384ddbe5a0c6d3293/screenshot-2023-11-05-at-2-03-54-pm.png?v=c81a9d6c51e6280f2f4f876031d7d9bc,2023-11-06 01:58:00,"Nearly 30,000 pounds of dinosaur-shaped chicken nuggets are being recalled because they may be contaminated with metal pieces, the United States Department of Agriculture said Saturday. 
The recall … [+1198 chars]",cbs-news,CBS News
"By <a href=""/profiles/kathleen-magramo"">Kathleen Magramo</a>, <a href=""/profiles/andrew-raine"">Andrew Raine</a>, <a href=""/profiles/rob-picheta"">Rob Picheta</a>, Ed Upright, Christian Edwards, <a href=""/profiles/maureen-chowdhury"">Maureen Chowdhury</a> and <a href=""/profiles/matt-meyer"">Matt Meyer</a>, CNN",Israel-Hamas war rages as outcry grows over Gaza crisis: Live updates - CNN,"Dozens of people were killed and many more wounded in a blast at the Al-Maghazi refugee camp in the central Gaza Strip late Saturday night, according to an official at a nearby hospital. Follow live updates.",https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-11-05-23/index.html,https://cdn.cnn.com/cnnnext/dam/assets/231103081813-01-gaza-skyline-110323-super-tease.jpeg,2023-11-06 01:52:00,"Humanitarian agencies have lost contact with aid workers in Gaza, as the Palestinian enclave faces its third communications blackout of the Israel-Hamas war, according to operators.
The company Palt… [+4200 chars]",cnn,CNN
,"NFL Week 9 grades: C.J. Stroud leads Texans to an 'A-,' Seahawks get an 'F' after blowout loss to Ravens - CBS Sports",Here are the grades for every team that played in Week 9,https://www.cbssports.com/nfl/news/nfl-week-9-grades-c-j-stroud-leads-texans-to-an-a-seahawks-get-an-f-after-blowout-loss-to-ravens/,https://sportshub.cbsistatic.com/i/r/2023/11/05/ba962484-1252-40d0-910c-89e1b585be42/thumbnail/1200x675/76abc46d04edce79336e18c702aba8d2/stroud-texans-g.jpg,2023-11-06 01:10:00,"Welcome to the Week 9 grades!
If you're wondering what the wildest game of the week was, that would definitely be Buccaneers-Texans. In what was easily one of the craziest finishes of the season, Ho… [+2759 chars]",NaN,CBS Sports
NaN,Dallas Cowboys vs. Philadelphia Eagles | 2023 Week 9 Game Highlights - NFL,Check out our other channels:NFL Mundo https://www.youtube.com/mundonflNFL Brasil https://www.youtube.com/c/NFLBrasilOficialNFL UK https://www.youtube.com/ch...,https://www.youtube.com/watch?v=bnt-5JKAO14,https://i.ytimg.com/vi/bnt-5JKAO14/maxresdefault.jpg,2023-11-06 01:03:29,NaN,NaN,YouTube
Dominic Patten,"Hollywood Waits: SAG-AFTRA “Still Reviewing” Studios’ “Last, Best, And Final Offer”; No Monday Meetings Set Yet - Deadline","Sunday did not see a lot of action between SAG-AFTRA and the studios as the actors guild strike hit its 115th day. “The guild is still reviewing the proposals,” a well-positioned SAG-AFTRA member t…",https://deadline.com/2023/11/actors-strike-final-offer-under-review-1235593669/,https://deadline.com/wp-content/uploads/2023/09/Fran.jpg?w=1024,2023-11-06 00:18:00,"Sunday did not see a lot of action between SAG-AFTRA and the studios as the actors guild strike hit its 115th day.
“The guild is still reviewing the proposals,” a well-positioned SAG-AFTRA member te… [+5868 chars]",NaN,Deadline
NaN,Bills inactives list for Sunday Night Football at Bengals | Week 9 - BuffaloBills.com,Bills are listing six players as inactive,https://www.buffalobills.com/news/bills-inactives-list-for-sunday-night-football-at-bengals-week-9,https://static.clubs.nfl.com/image/upload/t_editorial_landscape_12_desktop/bills/s55k7amp7kewloephpik,2023-11-05 23:50:50,"<ul><li>S Damar Hamlin</li><li>LB AJ Klein</li><li>LB Baylon Spector</li><li>G Germain Ifedi</li><li>T Alec Anderson</li><li>DT Poona Ford</li></ul>
The Bills elevated CB Josh Norman from the practi… [+285 chars]",NaN,BuffaloBills.com
Reuters,Hezbollah says Israel to 'pay price' after strike kills 3 children in Lebanon - Reuters,"An Israeli strike on a car in south Lebanon killed three children and their grandmother on Sunday, Lebanese authorities said, as the Israeli army said a Hezbollah attack from Lebanon killed an Israeli citizen in northern Israel.",https://www.reuters.com/world/middle-east/israeli-army-says-it-intercepted-drone-approaching-over-lebanon-2023-11-05/,https://www.reuters.com/resizer/5zvDkFv8sVgtR_I3D18Ih2-dhbQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NVSKDB45N5KKHDM23FA6NHMQYA.jpg,2023-11-05 23:20:00,"BEIRUT/JERUSALEM, Nov 5 (Reuters) - An Israeli strike on a car in south Lebanon killed three children and their grandmother on Sunday, Lebanese authorities said, as the Israeli army said a Hezbollah … [+3607 chars]",reuters,Reuters
Greg Redfern,Northern Lights may be visible in DC area Sunday night - WTOP,"A strong geomagnetic storm is occurring that could make an aurora (a.k.a. Northern Lights) visible in the U.S. Sunday night, including the DMV region.",https://wtop.com/the-space-place/2023/11/northern-lights-may-be-visible-in-dc-area-sunday-night/,https://wtop.com/wp-content/uploads/2023/11/photo-1-scaled-e1699232687318.jpg,2023-11-05 23:09:44,"While the Aurora isn't easy to see yourself, iPhone cameras facing Northeast appear to easily pick up the northern lights, WTOP Space Reporter Greg Redfern shares from Shenandoah National Park in Vir… [+4369 chars]",NaN,WTOP
Sarah Fortinsky,Netanyahu suspends minister who suggested dropping nuclear bomb on Gaza - The Hill,Israeli Prime Minister Benjamin Netanyahu suspended far-right Heritage Minister Amichai Eliyahu on Sunday after he suggested dropping an atomic bomb on Gaza was a possible way to deal with the threat from Hamas. Asked in a radio interview Sunday whether Israe…,https://thehill.com/policy/international/4294715-netanyahu-suspends-minister-who-suggested-dropping-nuclear-bomb-on-gaza/,https://thehill.com/wp-content/uploads/sites/2/2023/10/AP23291329165989-e1697725431262.jpg?w=1280,2023-11-05 23:06:00,"Skip to content
Israeli Prime Minister Benjamin Netanyahu suspended far-right Heritage Minister Amichai Eliyahu on Sunday after he suggested dropping an atomic bomb on Gaza was a possible way to dea… [+2215 chars]",the-hill,The Hill
Al Jazeera,‘Intense bombings’ by Israeli forces around Gaza hospitals amid blackout - Al Jazeera English,Third total communications outage in Gaza since start of war as Israel says it has divided the besieged strip into two.,https://www.aljazeera.com/news/2023/11/5/intense-bombings-by-israeli-forces-around-gaza-hospitals-amid-blackout,https://www.aljazeera.com/wp-content/uploads/2023/11/GazaBombs-1699205175.jpg?resize=1920%2C1440,2023-11-05 22:45:49,"Israel continues heavy shelling in the vicinity of several hospitals in the north of the Gaza Strip, officials in the besieged enclave say as all communications and internet services were once again … [+4229 chars]",al-jazeera-english,Al Jazeera English
NaN,Rep. Rashida Tlaib faces criticism from lawmakers over pro-Palestinian remarks - MSNBC,NaN,https://www.youtube.com/watch?v=-71qybygxW8,NaN,2023-11-05 22:15:00,NaN,NaN,YouTube
